Srno,Question,OptionA,OptionB,OptionC,OptionD,answer
52, Which Amazon EC2 instance pricing model can provide discounts of up to 90%?,Reserved Instances,On-Demand,Dedicated Hosts, Spot Instances , D  
53," What is the AWS customer responsible for according to the AWS shared 
responsibility model?",Physical access controls,Data encryption,"Secure disposal of 
storage devices", Environmental risk management , B 
54," Which of the following AWS Cloud services can be used to run a 
customer-managed relational database?",Amazon EC2,Amazon Route 53,Amazon ElastiCache, Amazon DynamoDB , A 
55, A company is looking for a scalable data warehouse solution.Which of the following AWS solutions would meet the companyג€™s needs?,Amazon Simple Storage Service (Amazon S3),Amazon DynamoDB,"Amazon 
Kinesis", Amazon Redshift , D  
56, Which statement best describes Elastic Load Balancing?,It translates a domain name into an IP address using DNS.,"It 
distributes incoming application traffic across one or more Amazon EC2 
instances.",It collects metrics on connected Amazon EC2 instances.," It 
automatically adjusts the number of Amazon EC2 instances to support 
incoming traffic. ", B  
57," Which of the following are valid ways for a customer to interact with AWS 
services? (Choose two.)",Command line interface,On-premises,Software Development Kits," 
Software-as-a-service E. Hybrid ", AC 
58, The AWS Cloudג€™s multiple Regions are an example of:,agility.,global infrastructure.,elasticity.," pay-as-you-go 
pricing. ", B 
59," Which of the following AWS services can be used to serve large amounts of 
online video content with the lowest possible latency? (Choose two.)",AWS Storage Gateway,Amazon S3,Amazon Elastic File System (EFS)," 
Amazon Glacier E. Amazom CloudFront "," BE  
"
60," A customer is deploying a new application and needs to choose an AWS 
Region.Which of the following factors could influence the customerג€™s decision? 
(Choose two.)",Reduced latency to users,"The applicationג€™s presentation in the 
local language",Data sovereignty compliance," Cooling costs in hotter 
climates E. Proximity to the customerג€™s office for on-site visits ", AC 
61," What is the benefit of using AWS managed services, such as Amazon 
ElastiCache and Amazon Relational Database Service (Amazon RDS)?",They require the customer to monitor and replace failing instances.,"
They have better performance than customer-managed services.","They 
simplify patching and updating underlying OSs."," They do not require the 
customer to optimize instance type or size selections. ", C 
62," Which service provides a virtually unlimited amount of online highly 
durable object storage?",Amazon Redshift,Amazon Elastic File System (Amazon EFS),"Amazon 
Elastic Container Service (Amazon ECS)", Amazon S3 , D  
63," Which of the following Identity and Access Management (IAM) entities is 
associated with an access key ID and secret access key when using AWS 
CommandLine Interface (AWS CLI)?",IAM group,IAM user,IAM role, IAM policy ," B  
"
64," Which of the following security-related services does AWS offer? (Choose 
two.)",Multi-factor authentication physical tokens,"AWS Trusted Advisor 
security checks",Data encryption," Automated penetration testing E. 
Amazon S3 copyrighted content detection ", BC  
65, Which AWS managed service is used to host databases?,AWS Batch,AWS Artifact,AWS Data Pipeline, Amazon RDS , D  
66," Which AWS service provides a simple and scalable shared file storage 
solution for use with Linux-based AWS and on-premises servers?",Amazon S3,Amazon Glacier,Amazon Elastic Block Store (Amazon EBS) , Amazon Elastic File System (Amazon EFS) , D
67," When architecting cloud applications, which of the following are a key 
design principle?",Use the largest instance possible,Provision capacity for peak load ,Use the Scrum development process, Implement elasticity ," D  Cloud services main proposition is to provide elasticity through 
horizontal scaling. Itג€™s already there. As for using largest instance 
possible, it is not a design principle that helps cloud applications in 
anyway. Scrum development process is not related to architecting. 
Therefore, a key principle is to provision your application for on-demand 
capacity. Peak loads is something that cloud applications experience 
everyday. Peak load management should be a necessary part of cloud 
application design 
principle."
68," Which AWS service should be used for long-term, low-cost storage of data 
backups?",Amazon RDS,Amazon Glacier,AWS Snowball, AWS EBS ," B  Explanation -Amazon S3 Glacier is a secure, durable, and low-cost storage 
class of S3 for data archiving and long-term backup. Customers can store 
large or small amounts of data for as little as $0.004 per gigabyte per 
month. The S3 Glacier storage class is ideal for archives where data is 
regularly retrieved and some of the data may be needed in minutes.Amazon 
RDS is a relational database service that hosts databases. It helps you 
create and manage databases. Amazon Snowball is a petabyte-scale data 
transfer service that provides cost efficient data transfer to AWS from 
tamper proof physical devices. Similarly, Elastic block storage offers 
persistent block storage volumes for EC2 
instances."
69," Under the shared responsibility model, which of the following is a shared 
control between a customer and AWS?",Physical controls,Patch management,Zone security," Data center 
auditing ", B 
70," Web servers running on Amazon EC2 access a legacy application running in a 
corporate data center.What term would describe this model?",Cloud-native,Partner network,Hybrid architecture," 
Infrastructure as a service ", C  
71," A company wants to reduce the physical compute footprint that developers 
use to run code.Which service would meet that need by enabling serverless architectures?",Amazon Elastic Compute Cloud (Amazon EC2),AWS Lambda,"Amazon 
DynamoDB", AWS CodeCommit ," B  AWS Lambda is an integral part of coding on AWS. It reduces physical 
compute footprint by utilizing aws cloud services to run code. "
72," Which AWS service provides alerts when an AWS event may impact a 
companyג€™s AWS resources?",AWS Personal Health Dashboard,AWS Service Health Dashboard,"AWS 
Trusted Advisor", AWS Infrastructure Event Management ," A  AWS Personal Health Dashboard provides alerts and remediation guidance 
when AWS is experiencing events that may impact you. While the Service 
HealthDashboard displays the general status of AWS services, Personal 
Health Dashboard gives you a personalized view into the performance and 
availability of theAWS services underlying your AWS 
resources."
73, Which of the following are categories of AWS Trusted Advisor? (Choose two.),Fault Tolerance,Instance Usage,Infrastructure," Performance E. 
Storage Capacity "," AD  Like your customized cloud expert, AWS Trusted Advisor analyzes your AWS 
environment and provides best practice recommendations in five categories: 
cost optimization, performance, security, fault tolerance and service 
limits."
74," Which task is AWS responsible for in the shared responsibility model for 
security and compliance?",Granting access to individuals and services,"Encrypting data in 
transit",Updating Amazon EC2 host firmware, Updating operating systems ," C  AWS Compliance enables customers to establish and operate in an AWS 
security control environment✑ The shared responsibility model is part of 
AWS Compliance program✑ The Security of the cloud is managed by Amazon AWS 
provider✑ The Security in the cloud is responsibility of the customer✑ The 
customer is responsible for their information and data, their secure 
transmission, integrity, and encryption✑ Also, the customer is responsible 
for managing, support, patching and control of the guest operating system 
and AWS services provided like EC2✑ AWS customers retain control and 
ownership of their data✑ The AWS network provides significant protection 
against traditional network security issues and the customer can implement 
further 
protection"
75," Where should a company go to search software listings from independent 
software vendors to find, test, buy and deploy software that runs on AWS?",AWS Marketplace,Amazon Lumberyard,AWS Artifact," Amazon 
CloudSearch "," A  AWS Marketplace is a digital catalog with thousands of software listings 
from independent software vendors that make it easy to find, test, buy, and 
deploy software that runs on AWS."
76, Which of the following is a benefit of using the AWS Cloud?,Permissive security removes the administrative burden.,"Ability to 
focus on revenue-generating activities.","Control over cloud network 
hardware.", Choice of specific cloud hardware vendors. ," B  Developer and IT staff productivity accounted for nearly 30% of overall 
financial benefits. The remaining benefits were driven by the flexibility 
and agility ofAmazon cloud infrastructure services, which make it easier to 
trial new business models, support revenue-generating applications, and 
provide more reliable services to end 
users."
77," When performing a cost analysis that supports physical isolation of a 
customer workload, which compute hosting model should be accounted for in 
the Total Cost of Ownership (TCO)?",Dedicated Hosts,Reserved Instances,On-Demand Instances," No 
Upfront Reserved Instances "," A  Use Dedicated Hosts to launch Amazon EC2 instances on physical servers 
that are dedicated for your use. Dedicated Hosts give you additional 
visibility and control over how instances are placed on a physical server, 
and you can reliably use the same physical server over time. As a result, 
Dedicated Hosts enable you to use your existing server-bound software 
licenses like Windows Server and address corporate compliance and 
regulatory requirements. "
78, Which AWS service provides the ability to manage infrastructure as code?,AWS CodePipeline,AWS CodeDeploy,AWS Direct Connect," AWS 
CloudFormation "," D  AWS CloudFormation provides a common language for you to describe and 
provision all the infrastructure resources in your cloud environment. 
CloudFormation allows you to use a simple text file to model and provision, 
in an automated and secure manner, all the resources needed for your 
applications across all regions and accounts. This file serves as the 
single source of truth for your cloud 
environment."
79," If a customer needs to audit the change management of AWS resources, which 
of the following AWS services should the customer use?",AWS Config,AWS Trusted Advisor,Amazon CloudWatch," Amazon 
Inspector "," A  AWS Config is a service that enables you to assess, audit, and evaluate 
the configurations of your AWS resources. Config continuously monitors and 
records yourAWS resource configurations and allows you to automate the 
evaluation of recorded configurations against desired configurations. With 
Config, you can review changes in configurations and relationships between 
AWS resources, dive into detailed resource configuration histories, and 
determine your overall compliance against the configurations specified in 
your internal guidelines. This enables you to simplify compliance auditing, 
security analysis, change management, and operational 
troubleshooting."
80," Which AWS service allows companies to connect an Amazon VPC to an 
on-premises data center?",AWS VPN,Amazon Redshift,API Gateway, Amazon Connect ," D  AWS Direct Connect enables you to securely connect your AWS environment to 
your on-premises data center or office location over a standard 1 gigabit 
or 10 gigabit Ethernet fiber-optic connection. AWS Direct Connect offers 
dedicated high speed, low latency connection, which bypasses internet 
service providers in your network path. An AWS Direct Connect location 
provides access to Amazon Web Services in the region it is associated with, 
as well as access to other US regions. AWS Direct Connect allows you to 
logically partition the fiber-optic connections into multiple logical 
connections called Virtual Local Area Networks(VLAN). You can take 
advantage of these logical connections to improve security, differentiate 
traffic, and achieve compliance 
requirements."
81," Which service allows a company with multiple AWS accounts to combine its 
usage to obtain volume discounts?",AWS Server Migration Service,AWS Organizations,AWS Budgets," AWS 
Trusted Advisor "," B  use the consolidated billing feature in AWS Organizations to consolidate 
billing and payment for multiple AWS accounts or multiple Amazon Internet 
Services Pvt.Ltd (AISPL) accounts. Every organization in AWS Organizations 
has a master account that pays the charges of all the member 
accounts.Consolidated billing has the following benefits:✑ One bill ג€"" You 
get one bill for multiple accounts.✑ Easy tracking ג€"" You can track the 
charges across multiple accounts and download the combined cost and usage 
data.✑ Combined usage ג€"" You can combine the usage across all accounts in 
the organization to share the volume pricing discounts and Reserved 
Instance discounts. This can result in a lower charge for your project, 
department, or company than with individual standalone accounts. For more 
information, seeVolume Discounts.✑ No extra fee ג€"" Consolidated billing is 
offered at no additional cost. "
82," Which of the following services could be used to deploy an application to 
servers running on-premises? (Choose two.)",AWS Elastic Beanstalk,AWS OpsWorks,AWS CodeDeploy," AWS Batch E. 
AWS X-Ray "," BC  
"
83," Which Amazon EC2 pricing model adjusts based on supply and demand of EC2 
instances?",On-Demand Instances,Reserved Instances,Spot Instances," 
Convertible Reserved Instances "," C  In the new model, the Spot prices are more predictable, updated less 
frequently, and are determined by supply and demand for Amazon EC2 spare 
capacity, not bid 
prices."
84," Which design principles for cloud architecture are recommended when 
re-architecting a large monolithic application? (Choose two.)",Use manual monitoring.,Use fixed servers.,"Implement loose 
coupling.", Rely on individual components. E. Design for scalability. ," CE  Rearchitecting applications involves sweeping change where an old 
monolithic application is completely revamped according to modern 
microservices architecture. Using individual components to re-architect a 
big application is one part of the process. The most important part is to 
design the application for scalability because the level of investment for 
a monolithic application can only be justified when resilience and 
scalability is 
needed."
85," Which is the MINIMUM AWS Support plan that allows for one-hour target 
response time for support cases?",Enterprise,Business,Developer, Basic , B  
86, Where can AWS compliance and certification reports be downloaded?,AWS Artifact,AWS Concierge,AWS Certificate Manager," AWS Trusted 
Advisor "," A  WS Artifact is your go-to, central resource for compliance-related 
information that matters to you. It provides on-demand access to AWSג€™s 
security and compliance reports and select online agreements. The AWS SOC 2 
report is particularly helpful for completing questionnaires because it 
provides a comprehensive description of the implementation and operating 
effectiveness of AWS security controls. Another useful document is the 
Executive Briefing within the AWSFedRAMP Partner 
Package."
87," Which AWS service provides a customized view of the health of specific AWS 
services that power a customerג€™s workloads running on AWS?",AWS Service Health Dashboard,AWS X-Ray,"AWS Personal Health 
Dashboard", Amazon CloudWatch ," C  Personal Health Dashboard gives you a personalized view of the status of 
the AWS services that power your applications, enabling you to quickly see 
when AWS is experiencing issues that may impact you. For example, in the 
event of a lost EBS volume associated with one of your EC2 instances, you 
would gain quick visibility into the status of the specific service you are 
using, helping save precious time troubleshooting to determine root 
cause."
88, Which of the following is an advantage of consolidated billing on AWS?,Volume pricing qualification,Shared access permissions,"Multiple 
bills per account", Eliminates the need for tagging ," A  If you have multiple standalone accounts, your charges might decrease if 
you add the accounts to an organization. AWS combines usage from all 
accounts in the organization to qualify you for volume pricing 
discounts."
89," Which of the following steps should be taken by a customer when conducting 
penetration testing on AWS?","Conduct penetration testing using Amazon Inspector, and then notify AWS 
support.","Request and wait for approval from the customerג€™s internal 
security team, and then conduct testing.","Notify AWS support, and then 
conduct testing immediately."," Request and wait for approval from AWS 
support, and then conduct testing. "," D  AWS customers are welcome to carry out security assessments or penetration 
tests against their AWS infrastructure without prior approval for 8 
services."
90, What is Amazon CloudWatch?,A code repository with customizable build and team commit features.,"
A metrics repository with customizable notification thresholds and 
channels.",A security configuration repository with threat analytics.," 
A rule repository of a web application firewall with automated 
vulnerability prevention features. "," B  Amazon CloudWatch is basically a metrics repository. An AWS service ג€"" 
such as Amazon EC2 ג€"" puts metrics into the repository, and you retrieve 
statistics based on those metrics. If you put your own custom metrics into 
the repository, you can retrieve statistics on these metrics as 
well."
91," How would an AWS customer easily apply common access controls to a large 
set of users?",Apply an IAM policy to an IAM group.,"Apply an IAM policy to an IAM 
role.","Apply the same IAM policy to all IAM users with access to the same 
worklo", Apply an IAM policy to an Amazon Cognito user pool. ," A  Instead of defining permissions for individual IAM users, it's usually 
more convenient to create groups that relate to job functions 
(administrators, developers, accounting, etc.). Next, define the relevant 
permissions for each group. Finally, assign IAM users to those groups. All 
the users in an IAM group inherit the permissions assigned to the group. 
That way, you can make changes for everyone in a group in just one place. 
As people move around in your company, you can simply change what IAM group 
their IAM user belongs 
to."
92, What technology enables compute capacity to adjust as loads change?,Load balancing,Automatic failover,Round robin, Auto Scaling ," D  AWS Auto Scaling monitors your applications and automatically adjusts 
capacity to maintain steady, predictable performance at the lowest possible 
cost. UsingAWS Auto Scaling, itג€™s easy to setup application scaling for 
multiple resources across multiple services in minutes. The service 
provides a simple, powerful user interface that lets you build scaling 
plans for resources including Amazon EC2 instances and Spot Fleets, Amazon 
ECS tasks, Amazon DynamoDB tables and indexes, and Amazon Aurora Replicas. 
AWS Auto Scaling makes scaling simple with recommendations that allow you 
to optimize performance, costs, or balance between them. If youג€™re 
already using Amazon EC2 Auto Scaling to dynamically scale your Amazon EC2 
instances, you can now combine it with AWS AutoScaling to scale additional 
resources for other AWS services. With AWS Auto Scaling, your applications 
always have the right resources at the right 
time."
93, Which AWS services are defined as global instead of regional? (Choose two.),Amazon Route 53,Amazon EC2,Amazon S3," Amazon CloudFront E. 
Amazon DynamoDB ", AD  
94," Which AWS service would you use to obtain compliance reports and 
certificates?",AWS Artifact,AWS Lambda,Amazon Inspector," AWS Certificate 
Manager "," A  AWS Artifact is your go-to, central resource for compliance-related 
information that matters to you. It provides on-demand access to AWSג€™ 
security and compliance reports and select online agreements. Reports 
available in AWS Artifact include our Service Organization Control (SOC) 
reports, Payment CardIndustry (PCI) reports, and certifications from 
accreditation bodies across geographies and compliance verticals that 
validate the implementation and operating effectiveness of AWS security 
controls. Agreements available in AWS Artifact include the Business 
Associate Addendum (BAA) and the Nondisclosure 
Agreement(NDA)."
95," Under the shared responsibility model, which of the following tasks are 
the responsibility of the AWS customer? (Choose two.)",Ensuring that application data is encrypted at rest,"Ensuring that 
AWS NTP servers are set to the correct time","Ensuring that users have 
received security training in the use of AWS services"," Ensuring that 
access to data centers is restricted E. Ensuring that hardware is disposed 
of properly ", AC 
96," Which AWS service can be used to manually launch instances based on 
resource requirements?",Amazon EBS,Amazon S3,Amazon EC2, Amazon ECS , C 
97," A company is migrating an application that is running non-interruptible 
workloads for a three-year time frame.Which pricing construct would provide the MOST cost-effective solution?",Amazon EC2 Spot Instances,Amazon EC2 Dedicated Instances,"Amazon 
EC2 On-Demand Instances", Amazon EC2 Reserved Instances , D 
98, The financial benefits of using AWS are: (Choose two.),reduced Total Cost of Ownership (TCO).,"increased capital expenditure 
(capex).",reduced operational expenditure (opex).," deferred payment 
plans for startups. E. business credit lines for stratups. ", AC 
99," Which AWS Cost Management tool allows you to view the most granular data 
about your AWS bill?",AWS Cost Explorer,AWS Budgets,AWS Cost and Usage report," AWS 
Billing dashboard "," C  The Cost & Usage Report is your one-stop-shop for accessing the most 
granular data about your AWS costs and usage. You can also load your cost 
and usage information into Amazon Athena, Amazon Redshift, AWS QuickSight, 
or a tool of your 
choice."
100," Which of the following AWS features enables a user to launch a 
pre-configured Amazon Elastic Compute Cloud (Amazon EC2) instance?",Amazon Elastic Block Store (Amazon EBS),Amazon Machine Image,"
Amazon EC2 Systems Manager", Amazon AppStream 2.0 ," B  To use Amazon EC2, you simply:✑ Select a pre-configured, templated Amazon 
Machine Image (AMI) to get up and running immediately. Or create an AMI 
containing your applications, libraries, data, and associated configuration 
settings.✑ Configure security and network access on your Amazon EC2 
instance.✑ Choose which instance type(s) you want, then start, terminate, 
and monitor as many instances of your AMI as needed, using the web service 
APIs or the variety of management tools provided.✑ Determine whether you 
want to run in multiple locations, utilize static IP endpoints, or attach 
persistent block storage to your instances.✑ Pay only for the resources 
that you actually consume, like instance-hours or data 
transfer."
101,Loading...,#VALUE!,#VALUE!,#VALUE!,#VALUE!,
102," Which of the following security measures protect access to an AWS account? 
(Choose two.)",Enable AWS CloudTrail.,Grant least privilege access to IAM users.,"
Create one IAM user and share with many developers and users."," Enable 
Amazon CloudFront. E. Activate multi-factor authentication (MFA) for 
privileged users. "," BE  If you decided to create service accounts (that is, accounts used for 
programmatic access by applications running outside of the AWS environment) 
and generate access keys for them, you should create a dedicated service 
account for each use case. This will allow you to restrict the associated 
policy to only the permissions needed for the particular use case, limiting 
the blast radius if the credentials are compromised. For example, if a 
monitoring tool and a release management tool both require access to your 
AWS environment, create two separate service accounts with two separate 
policies that define the minimum set of permissions for each 
tool."
103,Loading...,#VALUE!,#VALUE!,#VALUE!,#VALUE!,
104," Which of the following services falls under the responsibility of the 
customer to maintain operating system configuration, security patching, and 
networking?",Amazon RDS,Amazon EC2,Amazon ElastiCache, AWS Fargate ," B  The customer is responsible for managing, support, patching and control of 
the guest operating system and AWS services provided like 
EC2."
105," Which of the following is an important architectural design principle when 
designing cloud applications?",Use multiple Availability Zones.,Use tightly coupled components.,"
Use open source software.", Provision extra capacity. ," A  Data Center resilience is practiced through Availability Zones across data 
centers that reduce the impact of failures.Fault isolation improvement can 
be made to traditional horizontal scaling by sharding (a method of grouping 
instances into groups called shards, instead of sending the traffic from 
all users to every node like in the traditional IT 
structure.)"
106, Which AWS support plan includes a dedicated Technical Account Manager?,Developer,Enterprise,Business, Basic ," B  The enterprise support plans supports technical account manager. Developer 
and business support plans are devoid of this 
facility."
107,Loading...,#VALUE!,#VALUE!,#VALUE!,#VALUE!,
