Srno,Question,OptionA,OptionB,OptionC,OptionD,Answer
25," Developers are creating a new online transaction processing (OLTP) 
application for a small database that is very read-write intensive. A 
single table in the database is updated continuously throughout the day, 
and the developers want to ensure that the database performance is 
consistent.Which Amazon EBS storage option will achieve the MOST consistent 
performance to help maintain application performance?",Provisioned IOPS SSD,General Purpose SSD,Cold HDD," Throughput 
Optimized HDD ", A 
26," A Solutions Architect is designing a log-processing solution that requires 
storage that supports up to 500 MB/s throughput. The data is sequentially 
accessed by an Amazon EC2 instance.Which Amazon storage type satisfies these requirements?",EBS Provisioned IOPS SSD (io1),EBS General Purpose SSD (gp2),"EBS 
Throughput Optimized HDD (st1)", EBS Cold HDD (sc1) , A S
27," A company's development team plans to create an Amazon S3 bucket that 
contains millions of images. The team wants to maximize the read 
performance ofAmazon S3.Which naming scheme should the company use?",Add a date as the prefix.,Add a sequential id as the suffix.,"Add 
a hexadecimal hash as the suffix.", Add a hexadecimal hash as the prefix. , A c
28," A Solutions Architect needs to design a solution that will enable a 
security team to detect, review, and perform root cause analysis of 
security incidents that occur in a cloud environment. The Architect must 
provide a centralized view of all API events for current and future AWS 
regions.How should the Architect accomplish this task?","Enable AWS CloudTrail logging in each individual region. Repeat this 
for all future regions.","Enable Amazon CloudWatch logs for all AWS 
services across all regions and aggregate them in a single Amazon S3 
bucket.","Enable AWS Trusted Advisor security checks and report all 
security incidents for all regions."," Enable AWS CloudTrail by creating a 
new trail and apply the trail to all regions. ", D 
29," A company has a legacy application using a proprietary file system and 
plans to migrate the application to AWS.Which storage service should the company use?",Amazon DynamoDB,Amazon S3,Amazon EBS, Amazon EFS , C 
30," A Solution Architect is designing an application that uses Amazon EBS 
volumes. The volumes must be backed up to a different region.How should the Architect meet this requirement?",Create EBS snapshots directly from one region to another.,"Move the 
data to an Amazon S3 bucket and enable cross-region replication.","Create 
EBS snapshots and then copy them to the desired region."," Use a script to 
copy data from the current Amazon EBS volume to the destination Amazon EBS 
volume. ", C 
31," A company is evaluating Amazon S3 as a data storage solution for their 
daily analyst reports. The company has implemented stringent requirements 
concerning the security of the data at rest. Specifically, the CISO asked 
for the use of envelope encryption with separate permissions for the use of 
an envelope key, automated rotation of the encryption keys, and visibility 
into when an encryption key was used and by whom.Which steps should a Solutions Architect take to satisfy the security 
requirements requested by the CISO?","Create an Amazon S3 bucket to store the reports and use Server-Side 
Encryption with Customer-Provided Keys (SSE-C).","Create an Amazon S3 
bucket to store the reports and use Server-Side Encryption with Amazon 
S3-Managed Keys (SSE-S3).","Create an Amazon S3 bucket to store the 
reports and use Server-Side Encryption with AWS KMS-Managed Keys (SSE-KMS). "," Create an Amazon S3 bucket to store the reports and use Amazon s3 
versioning with Server-Side Encryption with Amazon S3-Managed Keys 
(SSE-S3). ", C 
32," A customer has a production application that frequently overwrites and 
deletes data, the application requires the most up-to-date version of the 
data every time it is requested.Which storage should a Solutions Architect recommend to bet accommodate 
this use case?",Amazon S3,Amazon RDS,Amazon RedShift, AWS Storage Gateway , A 
33," A Solutions Architect is designing a photo application on AWS. Every time 
a user uploads a photo to Amazon S3, the Architect must insert a new item 
to aDynamoDB table.Which AWS-managed service is the BEST fit to insert the item?",[email protected],AWS Lambda,Amazon API Gateway," Amazon EC2 
instances ", A S
34," An application relies on messages being sent and received in order. The 
volume will never exceed more than 300 transactions each second.Which service should be used?",Amazon SQS,Amazon SNS,Amazon ECS, AWS STS , A 
35," A Solutions Architect is designing an application on AWS that uses 
persistent block storage. Data must be encrypted at rest.Which solution meets the requirement?",Enable SSL on Amazon EC2 instances.,"Encrypt Amazon EBS volumes on 
Amazon EC2 instances.",Enable server-side encryption on Amazon S3.," 
Encrypt Amazon EC2 Instance Storage. ", A S
36," A company is launching a static website using the zone apex 
(mycompany.com). The company wants to use Amazon Route 53 for DNS.Which steps should the company perform to implement a scalable and 
cost-effective solution? (Choose two.)","Host the website on an Amazon EC2 instance with ELB and Auto Scaling, 
and map a Route 53 alias record to the ELB endpoint.","Host the website 
using AWS Elastic Beanstalk, and map a Route 53 alias record to the 
Beanstalk stack.","Host the website on an Amazon EC2 instance, and map a 
Route 53 alias record to the public IP address of the Amazon EC2 instance. "," Serve the website from an Amazon S3 bucket, and map a Route 53 alias 
record to the website endpoint. E. Create a Route 53 hosted zone, and set 
the NS records of the domain to use Route 53 name servers. ", CD 
37," A manufacturing company captures data from machines running at customer 
sites. Currently, thousands of machines send data every 5 minutes, and this 
is expected to grow to hundreds of thousands of machines in the near 
future. The data is logged with the intent to be analyzed in the future as 
needed.What is the SIMPLEST method to store this streaming data at scale?","Create an Amazon Kinesis Firehouse delivery stream to store the data in 
Amazon S3.","Create an Auto Scaling group of Amazon EC2 servers behind 
ELBs to write the data into Amazon RDS.","Create an Amazon SQS queue, and 
have the machines write to the queue."," Create an Amazon EC2 server farm 
behind an ELB to store the data in Amazon EBS Cold HDD volumes. ", B 
38," A bank is writing new software that is heavily dependent upon the database 
transactions for write consistency. The application will also occasionally 
generate reports on data in the database, and will do joins across multiple 
tables. The database must automatically scale as the amount of data grows.Which AWS service should be used to run the database?",Amazon S3,Amazon Aurora,Amazon DynamoDB, Amazon Redshift , B 
39," A Solutions Architect is designing a new application that needs to access 
data in a different AWS account located within the same region. The data 
must not be accessed over the Internet.Which solution will meet these requirements with the LOWEST cost?",Add rules to the security groups in each account.,"Establish a VPC 
Peering connection between accounts.","Configure Direct Connect in each 
account.", Add a NAT Gateway to the data account. , B 
40," A company plans to use AWS for all new batch processing workloads. The 
company's developers use Docker containers for the new batch processing. 
The system design must accommodate critical and non-critical batch 
processing workloads 24/7.How should a Solutions Architect design this architecture in a 
cost-efficient manner?","Purchase Reserved Instances to run all containers. Use Auto Scaling 
groups to schedule jobs.","Host a container management service on Spot 
Instances. Use Reserved Instances to run Docker containers.","Use Amazon 
ECS orchestration and Auto Scaling groups: one with Reserve Instances, one 
with Spot Instances."," Use Amazon ECS to manage container orchestration. 
Purchase Reserved Instances to run all batch workloads at the same time. ", C 
41," A company requires that the source, destination, and protocol of all IP 
packets be recorded when traversing a private subnet.What is the MOST secure and reliable method of accomplishing this goal.",Create VPC flow logs on the subnet.,"Enable source destination check 
on private Amazon EC2 instances.","Enable AWS CloudTrail logging and 
specify an Amazon S3 bucket for storing log files."," Create an Amazon 
CloudWatch log to capture packet information. ", A 
42," A Solutions Architect has a multi-layer application running in Amazon VPC. 
The application has an ELB Classic Load Balancer as the front end in a 
public subnet, and an Amazon EC2-based reverse proxy that performs 
content-based routing to two backend Amazon EC2 instances hosted in a 
private subnet. The Architect sees tremendous traffic growth and is 
concerned that the reverse proxy and current backend set up will be 
insufficient.Which actions should the Architect take to achieve a cost-effective 
solution that ensures the application automatically scales to meet traffic 
demand? (Select two.)","Replace the Amazon EC2 reverse proxy with an ELB internal Classic Load 
Balancer.",Add Auto Scaling to the Amazon EC2 backend fleet.,"Add Auto 
Scaling to the Amazon EC2 reverse proxy layer."," Use t2 burstable instance 
types for the backend fleet. E. Replace both the frontend and reverse proxy 
layers with an ELB Application Load Balancer. ", AB 
43," A company is launching a marketing campaign on their website tomorrow and 
expects a significant increase in traffic. The website is designed as a 
multi-tiered web architecture, and the increase in traffic could 
potentially overwhelm the current design.What should a Solutions Architect do to minimize the effects from a 
potential failure in one or more of the tiers?",Migrate the database to Amazon RDS.,"Set up DNS failover to a 
statistic website.",Use Auto Scaling to keep up with the dema," Use 
both a SQL and a NoSQL database in the design. ", C 
44," A web application experiences high compute costs due to serving a high 
amount of static web content.How should the web server architecture be designed to be the MOST 
cost-efficient?",Create an Auto Scaling group to scale out based on average CPU usage. ,"Create an Amazon CloudFront distribution to pull static content from an 
Amazon S3 bucket.","Leverage Reserved Instances to add additional capacity 
at a significantly lower price."," Create a multi-region deployment using 
an Amazon Route 53 geolocation routing policy. ", B 
45," A Solutions Architect plans to migrate NAT instances to NAT gateway. The 
Architect has NAT instances with scripts to manage high availability.What is the MOST efficient method to achieve similar high availability with 
NAT gateway?",Remove source/destination check on NAT instances.,"Launch a NAT 
gateway in each Availability Zone.","Use a mix of NAT instances and NAT 
gateway.", Add an ELB Application Load Balancer in front of NAT gateway. , B 
46," A Solutions Architect is designing a solution to store a large quantity of 
event data in Amazon S3. The Architect anticipates that the workload will 
consistently exceed 100 requests each second.What should the Architect do in Amazon S3 to optimize performance?",Randomize a key name prefix.,"Store the event data in separate 
buckets.",Randomize the key name suffix.," Use Amazon S3 Transfer 
Acceleration. ", A S
47," A user is testing a new service that receives location updates from 3,600 
rental cars every hour.Which service will collect data and automatically scale to accommodate 
production workload?",Amazon EC2,Amazon Kinesis Firehose,Amazon EBS," Amazon API 
Gateway ", D 
48," A Solutions Architect is designing a web application. The web and 
application tiers need to access the Internet, but they cannot be accessed 
from the Internet.Which of the following steps is required?","Attach an Elastic IP address to each Amazon EC2 instance and add a 
route from the private subnet to the public subnet.","Launch a NAT gateway 
in the public subnet and add a route to it from the private subnet.","
Launch Amazon EC2 instances in the public subnet and change the security 
group to allow outbound traffic on port 80."," Launch a NAT gateway in the 
private subnet and deploy a NAT instance in the private subnet. ", B 
49," An application stack includes an Elastic Load Balancer in a public subnet, 
a fleet of Amazon EC2 instances in an Auto Scaling group, and an Amazon RDSMySQL cluster. Users connect to the application from the Internet. The 
application servers and database must be secure.How should a Solutions Architect perform this task?","Create a private subnet for the Amazon EC2 instances and a public 
subnet for the Amazon RDS cluster.","Create a private subnet for the 
Amazon EC2 instances and a private subnet for the Amazon RDS cluster.","
Create a public subnet for the Amazon EC2 instances and a private subnet 
for the Amazon RDS cluster."," Create a public subnet for the Amazon EC2 
instances and a public subnet for the Amazon RDS cluster. ", C 
50," A Solutions Architect is designing a mobile application that will capture 
receipt images to track expenses. The Architect wants to store the images 
on Amazon S3.However, uploading images through the web server will create too much 
traffic.What is the MOST efficient method to store images from a mobile application 
on Amazon S3?",Upload directly to S3 using a pre-signed URL.,"Upload to a second 
bucket, and have a Lambda event copy the image to the primary bucket.","
Upload to a separate Auto Scaling group of servers behind an ELB Classic 
Load Balancer, and have them write to the Amazon S3 bucket."," Expand the 
web server fleet with Spot Instances to provide the resources to handle the 
images. ", C 
51," A legacy application running in premises requires a Solutions Architect to 
be able to open a firewall to allow access to several Amazon S3 buckets. 
The Architect has a VPN connection to AWS in place.How should the Architect meet this requirement?","Create an IAM role that allows access from the corporate network to 
Amazon S3.","Configure a proxy on Amazon EC2 and use an Amazon S3 VPC 
endpoint.",Use Amazon API Gateway to do IP whitelisting.," Configure IP 
whitelisting on the customer's gateway. ", A 
52," A Solutions Architect is designing a database solution that must support a 
high rate of random disk reads and writes. It must provide consistent 
performance, and requires long-term persistence.Which storage solution BEST meets these requirements?",An Amazon EBS Provisioned IOPS volume,"An Amazon EBS General Purpose 
volume",An Amazon EBS Magnetic volume, An Amazon EC2 Instance Store , A 
53," A Solutions Architect is designing solution with AWS Lambda where 
different environments require different database passwords.What should the Architect do to accomplish this in a secure and scalable 
way?",Create a Lambda function for each individual environment.,"Use Amazon 
DynamoDB to store environmental variables.","Use encrypted AWS Lambda 
environmental variables."," Implement a dedicated Lambda function for 
distributing variables. ", C 
54," A news organization plans to migrate their 20 TB video archive to AWS. The 
files are rarely accessed, but when they are, a request is made in advance 
and a 3 to5-hour retrieval time frame is acceptable. However, when there is a 
breaking news story, the editors require access to archived footage within 
minutes.Which storage solution meets the needs of this organization while providing 
the LOWEST cost of storage?",Store the archive in Amazon S3 Reduced Redundancy Storage.,"Store the 
archive in Amazon Glacier and use standard retrieval for all content.","
Store the archive in Amazon Glacier and pay the additional charge for 
expedited retrieval when need"," Store the archive in Amazon S3 with a 
lifecycle policy to move this to S3 Infrequent Access after 30 days. ", C 
55," A Solutions Architect is building a multi-tier website. The web servers 
will be in a public subnet, and the database servers will be in a private 
subnet. Only the web servers can be accessed from the Internet. The 
database servers must have Internet access for software updates.Which solution meets the requirements?",Assign Elastic IP addresses to the database instances.,"Allow 
Internet traffic on the private subnet through the network ACL.","Use a 
NAT Gateway.", Use an egress-only Internet Gateway. , C 
56," A Solutions Architect is designing a Lambda function that calls an API to 
list all running Amazon RDS instances.How should the request be authorized?","Create an IAM access and secret key, and store it in the Lambda 
function.","Create an IAM role to the Lambda function with permissions to 
list all Amazon RDS instances.","Create an IAM role to Amazon RDS with 
permissions to list all Amazon RDS instances."," Create an IAM access and 
secret key, and store it in an encrypted RDS database. ", C 
57," A Solutions Architect is building an application on AWS that will require 
20,000 IOPS on a particular volume to support a media event. Once the event 
ends, theIOPS need is no longer required. The marketing team asks the Architect to 
build the platform to optimize storage without incurring downtime.How should the Architect design the platform to meet these requirements?",Change the Amazon EC2 instant types.,"Change the EBS volume type to 
Provisioned IOPS.","Stop the Amazon EC2 instance and provision IOPS for 
the EBS volume."," Enable an API Gateway to change the endpoints for the 
Amazon EC2 instances. ", B 
58," A Solutions Architect is building a new feature using a Lambda to create 
metadata when a user uploads a picture to Amazon S3. All metadata must be 
indexed.Which AWS service should the Architect use to store this metadata?",Amazon S3,Amazon DynamoDB,Amazon Kinesis, Amazon EFC , B 
59," An interactive, dynamic website runs on Amazon EC2 instances in a single 
subnet behind an ELB Classic Load Balancer.Which design changes will make the site more highly available?",Move some Amazon EC2 instances to a subnet in a different way.,"Move 
the website to Amazon S3.","Change the ELB to an Application Load 
Balancer."," Move some Amazon EC2 instances to a subnet in the same 
Availability Zone. ", A 
60," A Solutions Architect is designing a solution for a media company that 
will stream large amounts of data from an Amazon EC2 instance. The data 
streams are typically large and sequential, and must be able to support up 
to 500 MB/s.Which storage type will meet the performance requirements of this 
application?",EBS Provisioned IOPS SSD,EBS General Purpose SSD,EBS Cold HDD," 
EBS Throughput Optimized HDD ", D 
61," A Solutions Architect is about to deploy an API on multiple EC2 instances 
in an Auto Scaling group behind an ELB. The support team has the following 
operational requirements:1 They get an alert when the requests per second go over 50,0002 They get an alert when latency goes over 5 seconds3 They can validate how many times a day users call the API requesting 
highly-sensitive dataWhich combination of steps does the Architect need to take to satisfy these 
operational requirements? (Select two.)",Ensure that CloudTrail is enabled.,"Create a custom CloudWatch metric 
to monitor the API for data access.",#VALUE!," Ensure that detailed monitoring for 
the EC2 instances is enabled. E. Create an application to export and save 
CloudWatch metrics for longer term trending analysis. ", BD 
62," A Solutions Architect is designing a highly-available website that is 
served by multiple web servers hosted outside of AWS. If an instance 
becomes unresponsive, the Architect needs to remove it from the rotation.What is the MOST efficient way to fulfill this requirement?",Use Amazon CloudWatch to monitor utilization.,"Use Amazon API Gateway 
to monitor availability.",Use an Amazon Elastic Load Balancer.," Use 
Amazon Route 53 health checks. ", C 
63," A company hosts a popular web application. The web application connects to 
a database running in a private VPC subnet. The web servers must be 
accessible only to customers on an SSL connection. The RDS MySQL database 
server must be accessible only from the web servers.How should the Architect design a solution to meet the requirements without 
impacting running applications?","Create a network ACL on the web server's subnet, and allow HTTPS 
inbound and MySQL outbound. Place both database and web servers on the same 
subnet.","Open an HTTPS port on the security group for web servers and set 
the source to 0.0.0.0/0. Open the MySQL port on the database security group 
and attach it to the MySQL instance. Set the source to Web Server Security 
Group.",#VALUE!," Open the MySQL port on the security group for web 
servers and set the source to 0.0.0.0/0. Open the HTTPS port on the 
database security group and attach it to the MySQL instance. Set the source 
to Web Server Security Group. ", B 
64," Which service should an organization use if it requires an easily managed 
and scalable platform to host its web application running on Nginx?",AWS Lambda,Auto Scaling,AWS Elastic Beanstalk," Elastic Load 
Balancing ", C 
65," An Administrator is hosting an application on a single Amazon EC2 
instance, which users can access by the public hostname. The administrator 
is adding a second instance, but does not want users to have to decide 
between many public hostnames.Which AWS service will decouple the users from specific Amazon EC2 
instances?",Amazon SQS,Auto Scaling group,Amazon EC2 security group," Amazon 
ELB ", B 
66," A Solutions Architect is designing a microservices-based application using 
Amazon ECS. The application includes a WebSocket component, and the traffic 
needs to be distributed between microservices based on the URL.Which service should the Architect choose to distribute the workload?",ELB Classic Load Balancer,Amazon Route 53 DNS,"ELB Application 
Load Balancer", Amazon CloudFront , A S
67," A Solutions Architect is designing the storage layer for a production 
relational database. The database will run on Amazon EC2. The database is 
accessed by an application that performs intensive reads and writes, so the 
database requires the LOWEST random I/O latency.Which data storage method fulfills the above requirements?",Store data in a filesystem backed by Amazon Elastic File System (EFS). ,"Store data in Amazon S3 and use a third-party solution to expose Amazon 
S3 as a filesystem to the database server.","Store data in Amazon Dynamo 
DB and emulate relational database semantics."," Stripe data across 
multiple Amazon EBS volumes using RAID 0. ", D 
68," A Solutions Architect is designing a VPC. Instances in a private subnet 
must be able to establish IPv6 traffic to the Internet. The design must 
scale automatically and not incur any additional cost.This can be accomplished with:",an egress-only internet gateway,a NAT gateway,"a custom NAT 
instance", a VPC endpoint , A S
69," A web application stores all data in an Amazon RDS Aurora database 
instance. A Solutions Architect wants to provide access to the data for a 
detailed report for the Marketing team, but is concerned that the 
additional load on the database will affect the performance of the web 
application.How can the report be created without affecting the performance of the 
application?",Create a read replica of the database.,"Provision a new RDS instance 
as a secondary master.",Configure the database to be in multiple regions. , Increase the number of provisioned storage IOPS. , B 
70," A Solutions Architect is designing a web application that is running on an 
Amazon EC2 instance. The application stores data in DynamoDB. The Architect 
needs to secure access to the DynamoDB table.What combination of steps does AWS recommend to achieve secure 
authorization? (Select two.)","Store an access key on the Amazon EC2 instance with rights to the 
Dynamo DB table.",Attach an IAM user to the Amazon EC2 instance.,"
Create an IAM role with permissions to write to the DynamoDB table."," 
Attach an IAM role to the Amazon EC2 instance. E. Attach an IAM policy to 
the Amazon EC2 instance. ", CD 
71," A company is using AWS Key Management Service (AWS KMS) to secure their 
Amazon RDS databases. An auditor has recommended that the company log all 
use of their AWS KMS keys.What is the SIMPLEST solution?",Associate AWS KMS metrics with Amazon CloudWatch.,"Use AWS CloudTrail 
to log AWS KMS key usage.","Deploy a monitoring agent on the RDS 
instances.", Poll AWS KMS periodically with a scheduled job. , A c
72," A Solutions Architect is designing a stateful web application that will 
run for one year (24/7) and then be decommissioned. Load on this platform 
will be constant, using a number of r4.8xlarge instances. Key drivers for 
this system include high availability, but elasticity is not required.What is the MOST cost-effective way to purchase compute for this platform?",Scheduled Reserved Instances,Convertible Reserved Instances,"
Standard Reserved Instances", Spot Instances , C 
73," A media company asked a Solutions Architect to design a highly available 
storage solution to serve as a centralized document store for their Amazon 
EC2 instances. The storage solution needs to be POSIX-compliant, scale 
dynamically, and be able to serve up to 100 concurrent EC2 instances.Which solution meets these requirements?","Create an Amazon S3 bucket and store all of the documents in this 
bucket.","Create an Amazon EBS volume and allow multiple users to mount 
that volume to their EC2 instance(s).","Use Amazon Glacier to store all of 
the documents."," Create an Amazon Elastic File System (Amazon EFS) to 
store and share the documents. ", A m
